rowid	time	user	message
72127	1388284467	200	may i finish uo my build reak quick
72128	1388284470	6	sure
72129	1388284472	6	take your time
72130	1388284475	200	k sorry
72131	1388284509	200	does your fiance play to?
72132	1388284515	6	not often, but sometimes
72133	1388284521	200	aw cool
72134	1388284529	6	enderminer, what do you want OP for
72135	1388284540	200	he starved to death
72136	1388284550	200	it was sad lol
72137	1388284553	6	haha
72138	1388284561	6	5 ppl o
72139	1388284562	6	on
72140	1388284567	200	oh btw this is a nether room
72141	1388284572	199	comand blocks and stuff and heal and /give and gamemodeand more
72142	1388284573	6	oh okay
72143	1388284599	6	thanks for being honest enderminer, but i dont think you'll get OP because of that
72144	1388284608	6	i will add commandblocks for you though
72145	1388284614	200	k we can go now
72146	1388284621	199	yay thanks
72147	1388284627	6	no problem
72148	1388284630	200	when your done
72149	1388284635	6	im done missmandy
72150	1388284641	200	ok
72151	1388284642	6	i'll meet you at hypixel!
72152	1388284647	200	bye
72153	1388289892	6	hi missmandy
72154	1388289903	6	sorry i asked to leave, those minigames are hard! very intense!
72155	1388289913	200	i know how to make an enchantment
72156	1388289928	200	and i wanted to come back anyway
72157	1388289929	6	how much longer can you play?
72158	1388289949	200	all night idc
72159	1388289954	6	awesome!
72160	1388289958	200	is today saturday
72161	1388289975	200	oops
72162	1388289977	6	lmao
72163	1388289982	6	U RUINED MY ARMOR
72164	1388289987	6	i h8 u forever
72165	1388289992	6	jk
72166	1388289995	200	ermergersh bye life
72167	1388290001	6	hahaha
72168	1388290024	200	dont you get sick in rain
72169	1388290031	6	i dont think so, but maybe
72170	1388290044	6	oh good, rain stopped
72171	1388290061	200	whenever it rains in the youtube vids they freak out so idk
72172	1388290069	200	bed time
72173	1388290072	6	i think most people just dont like rain
72174	1388290108	200	gm
72175	1388290116	6	gm
72176	1388290129	6	i'll go hunting for food, i dont know how to grow farms very well
72177	1388290137	200	k can you craft a book if you dont mind
72178	1388290144	200	when your done
72179	1388290158	6	what ingredients
72180	1388290177	200	ill wiki it
72181	1388290186	200	lol
72182	1388290206	200	i like the mixed floor
72183	1388290215	6	i didnt have all the pieces yet
72184	1388290226	200	yeah hah its actually cool
72185	1388290229	6	there shold be enough in the chest now tho
72186	1388290232	6	thx
72187	1388290233	200	brb
72188	1388290236	6	k
72189	1388290381	200	malon that video was annoying
72190	1388290386	6	lmao
72191	1388290391	6	i love that word replacement
72192	1388290395	200	ahha
72193	1388290413	200	i hop it works in 1 7 4
72194	1388290427	200	i need sugarcane
72195	1388290436	6	maybe we can play skyblock next? ive always wanted to.
72196	1388290437	200	ow
72197	1388290439	6	doesnt have to be now
72198	1388290442	6	but whenever you want
72199	1388290447	6	i'll go hunt some sugarcane for you
72200	1388290476	200	k im not sure of specific servers though, ill look at it now
72201	1388290503	6	i found sugarcane
72202	1388290510	200	yahhh
72203	1388290529	200	um i think i need 3
72204	1388290533	6	i got 4
72205	1388290535	6	so we good
72206	1388290554	200	yah
72207	1388290599	200	:)))))))
72208	1388290603	6	what else?! :D
72209	1388290614	6	really, thanks so much for playin minecraft with me
72210	1388290619	6	im having tons of fun
72211	1388290630	200	np
72212	1388290637	200	im having fun too
72213	1388290655	200	i like minecraft because im bad at making friends
72214	1388290672	6	lol me too. being social is hard
72215	1388290705	200	i thought i lost the obsidian but i put it in the furnace
72216	1388290712	200	i thought it was coal
72217	1388290713	6	whew
72218	1388290715	6	haha
72219	1388290719	6	looks similar
72220	1388290722	200	noob x 10000000
72221	1388290726	200	XD
72222	1388290735	6	black wool, black clay, block of coal, and obsidian all look nearly the same
72223	1388290761	200	i have a present youll really like :))))
72224	1388290765	6	?
72225	1388290774	200	im very excited
72226	1388290809	200	you ready for your present
72227	1388290814	6	im dizzy
72228	1388290815	6	lol
72229	1388290818	200	youll like it
72230	1388290820	6	yes!!
72231	1388290821	200	:))))0
72232	1388290823	6	im very excited
72233	1388290837	200	face the door and dont look around until i say
72234	1388290842	6	im rdy
72235	1388290844	6	xD
72236	1388290851	200	turn around
72237	1388290859	6	NICE
72238	1388290863	6	just what we needed!
72239	1388290869	6	its lord talbot!
72240	1388290869	201	call me james
72241	1388290873	200	i love crafting im smiling so hard
72242	1388290886	6	thank you missmandy for that wonderful present
72243	1388290890	200	yah
72244	1388290895	6	we need to surround it in books to make it even BETTER!
72245	1388290908	200	yeah i know we need those
72246	1388290923	200	im not that much of a noob lol
72247	1388290939	6	i have a little bit of a suprise for you....but its only temporary
72248	1388290969	6	i have a little bit of a suprise for you....but its only temporary
72249	1388290969	200	?
72250	1388290972	6	follow me
72251	1388290986	200	does it cheat?
72252	1388290999	6	>_>
72253	1388291015	200	i dont like cheating :p
72254	1388291021	6	omg
72255	1388291024	6	that is the best news
72256	1388291026	200	what
72257	1388291029	6	i hate cheating
72258	1388291040	200	well ofcourse lol
72259	1388291040	6	but i like making peopl ehappy, and most people like to cheat a little
72260	1388291043	6	so i let them
72261	1388291049	6	but YES! lets do it all legit!
72262	1388291053	6	i mean, we have been
72263	1388291055	6	but still
72264	1388291067	6	thats so great
72265	1388291069	6	woo!
72266	1388291070	200	im hardcore survival man
72267	1388291075	6	no kidding!
72268	1388291079	6	im gonna go hunting for food
72269	1388291084	6	ive only got one porkchop left
72270	1388291087	6	we should sleep tho
72271	1388291094	6	make it day
72272	1388291099	200	theres some steak in the chest if you need it
72273	1388291107	6	oh
72274	1388291108	6	where
72275	1388291118	6	no much
72276	1388291120	200	our house shared chest
72277	1388291120	6	i'll go hunt more
72278	1388291126	200	bedtime
72279	1388291138	6	SLEEP SLEEP SLEEP
72280	1388291141	6	woo!
72281	1388291143	6	cool dudes!
72282	1388291152	200	haha you just noticed
72283	1388291158	6	oops
72284	1388291205	6	yuo need anything while im out adventuring?
72285	1388291227	200	if you see sugarcane we could make bookcases
72286	1388291244	6	i'll travel near water to find sugarcane
72287	1388291262	200	you dont have to seach but if you see it :)
72288	1388291341	6	im traveling the river
72289	1388291363	200	cool :P
72290	1388291377	200	im farming to save the animals
72291	1388291608	6	ive got 18 sugarcane so far
72292	1388291693	6	do you believe in ghosts
72293	1388291710	200	no sorry
72294	1388291724	6	do you believe in malon?
72295	1388291729	6	in g.od?
72296	1388291749	200	yes
72297	1388291759	6	so why malon and not ghosts?
72298	1388291764	6	ermagerd
72299	1388291769	6	so why g.od and not ghosts?
72300	1388291787	6	im really far away, you dont wanna come here
72301	1388291794	200	ok
72302	1388291798	200	im dyinf
72303	1388291808	6	do it again, i'll accept
72304	1388291814	200	no i got it
72305	1388291816	6	okay
72306	1388291847	200	nvm
72307	1388291869	200	im dead
72308	1388291877	6	what do you mean
72309	1388291879	6	do you need food
72310	1388291900	200	2 hearts 2 food and a skeleton was after me
72311	1388291912	200	ty
72312	1388291927	6	keep some
72313	1388291932	200	k
72314	1388291941	200	i have some
72315	1388291963	6	alrgith
72316	1388291967	6	you wanna head back home or keep going
72317	1388291981	200	idc ill come hunting
72318	1388291988	6	i follow the coastline
72319	1388292019	200	woor
72320	1388292023	200	woot
72321	1388292049	6	i see a structure
72322	1388292089	6	killed an enderman
72323	1388292094	200	nice
72324	1388292165	200	makes me feel short
72325	1388292173	6	i get that feelin too...
72326	1388292182	6	28 sugarcne
